Column1,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
80,Ghana,76370396722,76.37 billion,0.0294,33787914,2260,0.00072
81,Azerbaijan,72356176471,72.356 billion,0.0112,10318207,7012,0.00068
82,Belarus,71857382746,71.857 billion,0.0389,9115680,7883,0.00068
83,Slovenia,69148468417,69.148 billion,0.0211,2118396,32642,0.00065
84,Myanmar,66757619000,66.758 billion,0.0096,54133798,1233,0.00063
85,DR Congo,66383287003,66.383 billion,0.0856,105789731,628,0.00063
86,Turkmenistan,60628857143,60.629 billion,0.063,7364438,8233,0.00057
87,Jordan,50967475352,50.967 billion,0.0268,11439213,4456,0.00048
88,Cameroon,49279410983,49.279 billion,0.0325,28372687,1737,0.00046
89,Uganda,48768955863,48.769 billion,0.0534,48656601,1002,0.00046
90,Tunisia,48529595417,48.53 billion,0.0004,12200431,3978,0.00046
91,Bahrain,46079867021,46.08 billion,0.0298,1569666,29356,0.00043
92,Macao,45803067940,45.803 billion,0.7506,713912,64158,0.00043
93,Bolivia,45135398009,45.135 billion,0.0308,12244159,3686,0.00043
94,Libya,45096462972,45.096 billion,0.1016,7305659,6173,0.00042
95,Paraguay,42956263544,42.956 billion,0.0471,6844146,6276,0.0004
96,Cambodia,42335646896,42.336 billion,0.0496,17423880,2430,0.0004
97,Latvia,42247850065,42.248 billion,0.0171,1882396,22444,0.0004
98,Estonia,41291245222,41.291 billion,−3.02%,1367196,30201,0.00039
99,Nepal,40908073367,40.908 billion,0.0195,29694614,1378,0.00039
100,Zimbabwe,35231367886,35.231 billion,0.0534,16340822,2156,0.00033
101,Honduras,34400509852,34.401 billion,0.0358,10644851,3232,0.00032
102,El Salvador,34015620000,34.016 billion,0.0351,6309624,5391,0.00032
103,Cyprus,33886930712,33.887 billion,0.0261,1344976,25195,0.00032
104,Iceland,31325116556,31.325 billion,0.0504,387558,80827,0.0003
105,Senegal,30848333084,30.848 billion,0.0458,18077573,1706,0.00029
106,Georgia,30777833585,30.778 billion,0.0783,3807492,8083,0.00029
107,Papua New Guinea,30729242919,30.729 billion,0.0304,10389635,2958,0.00029
108,Zambia,27577956471,27.578 billion,0.0537,20723965,1331,0.00026
109,Bosnia and Herzegovina,27514782476,27.515 billion,0.0221,3185073,8639,0.00026
110,Trinidad and Tobago,27372285698,27.372 billion,0.0135,1502932,18213,0.00026
111,Armenia,24085749592,24.086 billion,0.083,2943393,8183,0.00023
112,Albania,23547179830,23.547 billion,0.0394,2811655,8375,0.00022
113,Malta,22328640242,22.329 billion,0.075,532956,41896,0.00021
114,Guinea,22199409741,22.199 billion,0.0674,14405468,1541,0.00021
115,Mozambique,20954220984,20.954 billion,0.0544,33635160,623,0.0002
116,Mali,20661794596,20.662 billion,0.0466,23769127,869,0.00019
117,Mongolia,20325121394,20.325 billion,0.0742,3431932,5922,0.00019
118,Burkina Faso,20324617845,20.325 billion,0.0296,23025776,883,0.00019
119,Haiti,19850829758,19.851 billion,−1.86%,11637398,1706,0.00019
120,Benin,19676049076,19.676 billion,0.0635,14111034,1394,0.00019
121,Jamaica,19423355409,19.423 billion,0.022,2839786,6840,0.00018
122,Botswana,19396084498,19.396 billion,0.0273,2480244,7820,0.00018
123,Gabon,19388402542,19.388 billion,0.0245,2484789,7803,0.00018
124,Nicaragua,17829218219,17.829 billion,0.0457,6823613,2613,0.00017
125,State of Palestine,17420800000,17.421 billion,−5.41%,5409202,3221,0.00016
126,Afghanistan,17233051620,17.233 billion,0.0271,41454761,416,0.00016
127,Guyana,17159509565,17.16 billion,0.338,826353,20765,0.00016
128,Niger,16819170421,16.819 billion,0.025,26159867,643,0.00016
129,Moldova,16539436547,16.539 billion,0.0078,3067070,5393,0.00016
130,Laos,15843155731,15.843 billion,0.0375,7664993,2067,0.00015
131,Madagascar,15790113247,15.79 billion,0.038,31195932,506,0.00015
132,North Macedonia,15763621848,15.764 billion,0.0207,1831802,8606,0.00015
133,Congo,15321055823,15.321 billion,0.0191,6182885,2478,0.00014
134,Brunei,15128292981,15.128 billion,0.0141,458949,32963,0.00014
135,Mauritius,14644524819,14.645 billion,0.0696,1273588,11499,0.00014
136,Bahamas,14338500000,14.338 billion,0.0264,399440,35897,0.00014
137,Rwanda,14097768472,14.098 billion,0.0824,13954471,1010,0.00013
138,Kyrgyzstan,13987627909,13.988 billion,0.0615,7073516,1977,0.00013
139,Chad,13149325362,13.149 billion,0.0412,19319064,681,0.00012
140,Malawi,12712150082,12.712 billion,0.0189,21104482,602,0.00012
141,Namibia,12351025067,12.351 billion,0.0416,2963095,4168,0.00012
142,Equatorial Guinea,12337550584,12.338 billion,−5.09%,1847549,6678,0.00012
143,Tajikistan,12060602009,12.061 billion,0.083,10389799,1161,0.00011
144,Mauritania,10651709411,10.652 billion,0.0651,5022441,2121,0.0001
145,Togo,9171261838,9.171 billion,0.0641,9304337,986,0.000086
146,Montenegro,7530593375,7.531 billion,0.0634,633552,11886,0.000071
147,Barbados,6720733200,6.721 billion,0.0409,282336,23804,0.000063
148,Maldives,6590894302,6.591 billion,0.0473,525994,12530,0.000062
149,Sierra Leone,6411869546,6.412 billion,0.0571,8460512,758,0.00006
150,Fiji,5442046565,5.442 billion,0.0752,924145,5889,0.000051
151,Eswatini,4442875788,4.443 billion,0.0501,1230506,3611,0.000042
152,Liberia,4240000000,4.24 billion,0.0468,5493031,772,0.00004
153,Andorra,3785067332,3.785 billion,0.0258,80856,46812,0.000036
154,Aruba,3648573136,3.649 billion,0.0426,107939,33802,0.000034
155,Suriname,3455146281,3.455 billion,0.0254,628886,5494,0.000033
156,Belize,3066850000,3.067 billion,0.0115,411106,7460,0.000029
157,Burundi,2642161669,2.642 billion,0.027,13689450,193,0.000025
158,Central African Republic,2555492085,2.555 billion,0.0087,5152421,496,0.000024
159,Cabo Verde,2533819406,2.534 billion,0.0548,522331,4851,0.000024
160,Saint Lucia,2430148148,2.43 billion,0.0221,179285,13555,0.000023
161,Gambia,2396111022,2.396 billion,0.048,2697845,888,0.000023
162,Seychelles,2141450171,2.141 billion,0.0316,127951,16736,0.00002
163,Lesotho,2117962451,2.118 billion,0.0183,2311472,916,0.00002
164,Timor-Leste,2079916900,2.08 billion,−18.12%,1384286,1503,0.00002
165,Guinea-Bissau,2048348108,2.048 billion,0.052,2153339,951,0.000019
166,Antigua and Barbuda,2033085185,2.033 billion,0.0386,93316,21787,0.000019
167,Solomon Islands,1633319401,1.633 billion,0.0308,800005,2042,0.000015
168,Comoros,1352380971,1.352 billion,0.03,850387,1590,0.000013
169,Grenada,1316733333,1.317 billion,0.0357,117081,11246,0.000012
170,Vanuatu,1126313359,1.126 billion,0.0221,320409,3515,0.000011
171,St. Vincent & Grenadines,1065962963,1.066 billion,0.0602,101323,10520,0.00001
172,Saint Kitts & Nevis,1055499778,1.055 billion,0.0228,46758,22574,0.0000099
173,Samoa,938189444,938.189 million,0.0858,216663,4330,0.0000088
174,Sao Tome & Principe,678976265,678.976 million,0.0037,230871,2941,0.0000064
175,Dominica,653992593,653.993 million,0.0471,66510,9833,0.0000062
176,Micronesia,460000000,460 million,0.0078,112630,4084,0.0000043
177,Palau,281849063,281.849 million,0.0188,17727,15899,0.0000027
178,Kiribati,279208903,279.209 million,0.0412,132530,2107,0.0000026
179,Marshall Islands,259300000,259.3 million,−3.93%,38827,6678,0.0000024
180,Tuvalu,62280312,62.28 million,0.0385,9816,6345,0.00000059
